passcode 	title 	url 	filename 	decode_method_tags
utt11thodwht314nr 	Ingress Year 4 	https://ingress.codes/2016/11/19/ingress-year-4/ 	code\Ingress Year 4.html 	atbash,morse,reverse,transposition
po8cr2letavi4e74hf 	A Repeating Vision 	https://ingress.codes/2016/11/14/a-repeating-vision/ 	code\A Repeating Vision.html 	keyboard flip,morse,swap,transposition
kdf40agimasgo219jj 	A Repeating Vision 	https://ingress.codes/2016/11/14/a-repeating-vision/ 	code\A Repeating Vision.html 	keyboard flip,morse,swap,transposition
pnm43fwrubit826.r 	A Repeating Vision 	https://ingress.codes/2016/11/14/a-repeating-vision/ 	code\A Repeating Vision.html 	keyboard flip,morse,swap,transposition
1pl8pzccvlor8fx5yxypq3qrc 	An Ominous Message 	https://ingress.codes/2016/11/11/an-ominous-message/ 	code\An Ominous Message.html 	base64,braille,letters to numbers,numbers to letters,transposition
17af051421170817212515190521201820j142104Gd1405P18 	An Ominous Message 	https://ingress.codes/2016/11/11/an-ominous-message/ 	code\An Ominous Message.html 	base64,braille,letters to numbers,numbers to letters,transposition
4emhjd8e2vauj46k 	An Ominous Message 	https://ingress.codes/2016/11/11/an-ominous-message/ 	code\An Ominous Message.html 	base64,braille,letters to numbers,numbers to letters,transposition
2r3zqasjfji5p6v5 	Inside the case 	https://ingress.codes/2016/11/18/inside-the-case/ 	code\Inside the case.html 	base64,keyword substitution,morse,reverse,transposition
lp312shpqfw48rhb 	Inside the case 	https://ingress.codes/2016/11/18/inside-the-case/ 	code\Inside the case.html 	base64,keyword substitution,morse,reverse,transposition
htyt-nh-ybb-axwws-;o-/oo-ngb-bybt-hghg-ppo-bygg-thh-gn-//o-l.pl-bgy-b-/-oo-qssxx-p;p-/pl-o.;o-asxxw 	Inside the case 	https://ingress.codes/2016/11/18/inside-the-case/ 	code\Inside the case.html 	base64,keyword substitution,morse,reverse,transposition
hvelwneecooimihgtnsgnyhyetotrj 	A clue for tomorrow 	https://ingress.codes/2016/11/08/a-clue-for-tomorrow/ 	code\A clue for tomorrow.html 	atbash,rot,transposition
vtg11yvtrm764nd 	A clue for tomorrow 	https://ingress.codes/2016/11/08/a-clue-for-tomorrow/ 	code\A clue for tomorrow.html 	atbash,rot,transposition
emifvgjavnagvpsbfvsbwj 	A clue for tomorrow 	https://ingress.codes/2016/11/08/a-clue-for-tomorrow/ 	code\A clue for tomorrow.html 	atbash,rot,transposition
gnotoacuworfoinisushnctixwe 	Via Noir Anomaly Intel III 	https://ingress.codes/2016/11/12/via-noir-anomaly-intel-iii/ 	code\Via Noir Anomaly Intel III.html 	atbash,decimal,keyword substitution,letters to numbers,reverse,transposition
b385kfost46q 	Via Noir Anomaly Intel III 	https://ingress.codes/2016/11/12/via-noir-anomaly-intel-iii/ 	code\Via Noir Anomaly Intel III.html 	atbash,decimal,keyword substitution,letters to numbers,reverse,transposition
sqrvtuuyuzrwsutqrzrwswrwuuutuvrrsx 	Via Noir Anomaly Intel III 	https://ingress.codes/2016/11/12/via-noir-anomaly-intel-iii/ 	code\Via Noir Anomaly Intel III.html 	atbash,decimal,keyword substitution,letters to numbers,reverse,transposition
8awue25gn4iqzs9 	Reports from NYC 	https://ingress.codes/2016/11/09/reports-from-nyc/ 	code\Reports from NYC.html 	decimal,hexadecimal atbash,reverse,transposition
5o7jwpycbsk3s7o6 	Reports from NYC 	https://ingress.codes/2016/11/09/reports-from-nyc/ 	code\Reports from NYC.html 	decimal,hexadecimal atbash,reverse,transposition
